date,state,house_median_value
1/1/2015,Oregon,264100
1/1/2015,Pennsylvania,170600
1/1/2015,Rhode Island,241000
1/1/2015,South Carolina,148600
1/1/2015,South Dakota,152800
1/1/2015,Tennessee,150600
1/1/2015,Texas,152000
1/1/2015,Utah,234600
1/1/2015,Vermont,223700
1/1/2015,Virginia,257800
1/1/2015,Washington,284000
1/1/2015,West Virginia,112100
1/1/2015,Wisconsin,168300
1/1/2015,Wyoming,212500
1/1/2015,Puerto Rico,114100
1/1/2015,United States,194500
1/1/2016,Alabama,136200
1/1/2016,Alaska,267800
1/1/2016,Arizona,205900
1/1/2016,Arkansas,123300
1/1/2016,California,477500
1/1/2016,Colorado,314200
1/1/2016,Connecticut,274600
1/1/2016,Delaware,243400
1/1/2016,District of Columbia,576100
1/1/2016,Florida,197700
1/1/2016,Georgia,166800
1/1/2016,Hawaii,592000
1/1/2016,Idaho,189400
1/1/2016,Illinois,186500
1/1/2016,Indiana,134800
1/1/2016,Iowa,142300
1/1/2016,Kansas,144900
1/1/2016,Kentucky,135600
1/1/2016,Louisiana,158000
1/1/2016,Maine,184700
1/1/2016,Maryland,306900
1/1/2016,Massachusetts,366900
1/1/2016,Michigan,147100
1/1/2016,Minnesota,211800
1/1/2016,Mississippi,113900
1/1/2016,Missouri,151400
1/1/2016,Montana,217200
1/1/2016,Nebraska,148100
1/1/2016,Nevada,239500
1/1/2016,New Hampshire,251100
1/1/2016,New Jersey,328200
1/1/2016,New Mexico,167500
1/1/2016,New York,302400
1/1/2016,North Carolina,165400
1/1/2016,North Dakota,184100
1/1/2016,Ohio,140100
1/1/2016,Oklahoma,132200
1/1/2016,Oregon,287100
1/1/2016,Pennsylvania,174100
1/1/2016,Rhode Island,247700
1/1/2016,South Carolina,153900
1/1/2016,South Dakota,160700
1/1/2016,Tennessee,157700
1/1/2016,Texas,161500
1/1/2016,Utah,250300
1/1/2016,Vermont,223700
1/1/2016,Virginia,264000
1/1/2016,Washington,306400
1/1/2016,West Virginia,117900
1/1/2016,Wisconsin,173200
1/1/2016,Wyoming,209500
1/1/2016,Puerto Rico,111900
1/1/2016,United States,205000
1/1/2017,Alabama,141300
1/1/2017,Alaska,273100
1/1/2017,Arizona,223400
